target:4999997,active:0,hitrate:0.0,duration:1124.9105381965637

#2001:559:50c::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1129.3985776901245

#2402:ecc0::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1162.464632987976

#2a02:26f7:f88c::/48,budget:5000000
target:4999997,active:4931114,hitrate:0.9862233917340351,duration:1152.3548502922058

#2409:8904:3e60::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1167.5055847167969

#2405:2400::/48,budget:5000000
target:4999997,active:5,hitrate:1.00000060000036e-06,duration:1137.1132719516754

#2402:8100:3976::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1163.488789319992

#2a00:1228:4::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1067.0248069763184

#2804:6a38:7000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1179.0406398773193

#2607:fe68:5a00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1183.7190504074097

#2a02:26f7:bac8::/48,budget:5000000
target:4999997,active:4931420,hitrate:0.9862845917707551,duration:1173.1523241996765

#240a:a3ad::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1169.1145279407501

#2604:2e89:5000::/38,budget:5000000
target:4999999,active:510,hitrate:0.00010200002040000409,duration:1165.5541903972626

#2400:7fc0:244::/46,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1133.013465642929

#2001:1938:4100::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1156.0617983341217

#2600:1009:a100::/44,budget:5000000
target:4999993,active:96,hitrate:1.920002688003763e-05,duration:1162.5685875415802

#2400:cb00:a981::/48,budget:5000000
target:4999997,active:26,hitrate:5.200003120001872e-06,duration:1143.666243314743

#2801:10:b000::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1166.6645729541779

#2406:f900:d::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1170.7500548362732

#2a12:83c7::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1174.9848003387451

#2803:d080:a134::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1158.4195773601532

#2804:920:2000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1186.8133208751678

#2803:b2c0:1100::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1147.3148505687714

#2a06:6541:1000::/48,budget:5000000
target:4999997,active:17,hitrate:3.400002040001224e-06,duration:1161.3114087581635

#2800:370:c4::/46,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1160.1147005558014

#2806:2f0:90e0::/47,budget:5000000
target:4999997,active:1262,hitrate:0.00025240015144009084,duration:1150.9592275619507

